appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,23911,91,Los Angeles Police Department Newton Division,,False,los-angeles-police-department-newton-division,approved,[]
,False,23582,34,"Public Works Department, Coral Gabels",,False,public-works-department-coral-gabels,approved,[]
,False,23855,3192,Dublin San Ramon Services District,,False,dublin-san-ramon-services-district,approved,[]
,False,23600,323,Public Service,,False,public-service,approved,[]
,False,23841,3906,Hudson Police Department,,False,hudson-police-department,approved,[]
,False,331,1,"Department of Public Safety, Architectural Access Board",,False,ma-department-of-public-safety-architectural-access-board-one-ashburton-place-room-1310-boston-ma-02108,approved,[]
,False,287,10,Office of Government Information Services,,False,office-of-government-information-services,approved,[]
,False,9893,230,Georgia Information Sharing Analysis Center,,False,georgia-information-sharing-analysis-center,approved,[]
,False,223,10,Federal Retirement Thrift Investment Board,,False,federal-retirement-thrift-investment-board,approved,[]
,False,23904,359,Blm Utah,,False,blm-utah,approved,[]
,False,23836,16636,Salisbury Police Department,,False,salisbury-police-department,approved,[]
,False,4234,16,State University of New York At Morrisville,,False,state-university-of-new-york-at-morrisville,approved,[]
,False,23866,10549,Village Clerk,,False,rdsbalharbourflgov,approved,[]
,False,23832,32161,Barboursville Police Dept,,False,barboursville-police-dept,approved,[]
,False,11007,3039,"Superior Court of California, County of Humboldt",,False,superior-court,approved,[]
,False,282,95,City of Benson,,False,city-of-benson,approved,City Hall
,False,300,101,Mayor's Office,,False,mayors-office,approved,City Hall
,False,37469,114,Arkansas Board Of Pharmacy,,False,arkansas-board-of-pharmacy,approved,[]
,False,23907,145,Parks And Recreation Denver,,False,parks-and-recreation-denver,approved,[]
,False,349,123,University of Central Florida Police Department,,False,university-central-florida-police-department,approved,Police
,False,23859,316,Long Beach Housing Authority,,False,long-beach-housing-authority,approved,[]
,False,23928,33641,Virgin Islands Department Of Health,,False,virgin-islands-department-of-health,approved,[]
,False,23941,139,Fbi Austin,,False,fbi-austin,approved,[]
,False,8782,7637,Champaign Police Department,,False,champaign-police-department,approved,[]
,False,23957,159,City Of Bessemer,,True,city-of-bessemer,approved,[]
,False,23565,454,Building Department,,False,building-department,approved,[]
,False,23840,3936,Merrimack Police Department,,False,merrimack-police-department,approved,[]
,False,316,16,New York State Office of Court Administration,,False,new-york-state-office-of-court-administration,approved,[]
,False,23867,10550,Town Clerk,,False,msiegelbayharborislands-flgov,approved,[]
,False,399,10,"Department of Energy, Idaho National Laboratory",,False,department-energy-idaho-national-laboratory,approved,[]
,False,23947,3427,Richardson Bay Regional Agency,,False,richardson-bay-regional-agency,approved,[]
,False,23129,52,Walnut Creek,,False,walnut-creek,approved,[]
,False,23935,25299,Seven Mile Police Department,,False,seven-mile-police-department,approved,[]
,False,23939,8189,Village Of Mount Prospect Illinois,,False,village-of-mount-prospect-illinois,approved,[]
,False,23944,9958,Police Department,,False,police-department,approved,[]
,False,23936,169,Chicago Department Of Business Affairs & Consumer Protection,,False,chicago-department-of-business-affairs-consumer-protection,approved,[]
,False,23952,731,Juvenile And Domestic Chesapeake Virginia,,False,juvenile-and-domestic-chesapeake-virginia,approved,[]
,False,23978,13816,Mayor,,False,mayor,approved,[]
,False,23994,233,Louisiana Department Of Natural Resources,,False,louisiana-department-of-natural-resources,approved,[]
,False,23997,325,"Georgia State University, Atlanta Georgia",,False,georgia-state-university-atlanta-georgia,approved,[]
,False,23999,721,City Of Madison Water Utility,,False,city-of-madison-water-utility,approved,[]
,False,24019,16311,West Monroe Police Department,,False,west-monroe-police-department,approved,[]
,False,24020,10408,City Of Defuniak Springs,,False,city-of-defuniak-springs,approved,[]
,False,24022,3,Designer Selection Board,,False,designer-selection-board,approved,[]
,False,4237,16,New York Attorney General's Charities Bureau,,False,new-york-attorney-generals-charities-bureau,approved,[]
