abbrev,id,level,name,parent,slug
,483,l,Charlemont,1,charlemont
,484,l,Charlton,1,charlton
,485,l,Chatham,1,chatham
,486,l,Cheshire,1,cheshire
,487,l,Chester,1,chester
,488,l,Chesterfield,1,chesterfield
,489,l,Chicopee,1,chicopee
,490,l,Chilmark,1,chilmark
,491,l,Clarksburg,1,clarksburg
,492,l,Clinton,1,clinton
,493,l,Colrain,1,colrain
,494,l,Conway,1,conway
,495,l,Cummington,1,cummington
,496,l,Dalton,1,dalton
,497,l,Dartmouth,1,dartmouth
,498,l,Deerfield,1,deerfield
,499,l,Dennis,1,dennis
,500,l,Dighton,1,dighton
,501,l,Douglas,1,douglas
,502,l,Dracut,1,dracut
,503,l,Dudley,1,dudley
,504,l,Dunstable,1,dunstable
,505,l,Duxbury,1,duxbury
,506,l,East Bridgewater,1,east-bridgewater
,507,l,East Brookfield,1,east-brookfield
,508,l,East Longmeadow,1,east-longmeadow
,509,l,Eastham,1,eastham
,510,l,Easthampton,1,easthampton
,511,l,Easton,1,easton
,512,l,Edgartown,1,edgartown
,513,l,Egremont,1,egremont
,514,l,Erving,1,erving
,515,l,Essex,1,essex
,516,l,Fairhaven,1,fairhaven
,517,l,Falmouth,1,falmouth
,518,l,Florida,1,florida
,519,l,Freetown,1,freetown
,520,l,Gardner,1,gardner
,521,l,Georgetown,1,georgetown
,522,l,Gill,1,gill
,523,l,Goshen,1,goshen
,524,l,Gosnold,1,gosnold
,525,l,Grafton,1,grafton
,526,l,Granby,1,granby
,527,l,Granville,1,granville
,528,l,Great Barrington,1,great-barrington
,529,l,Greenfield,1,greenfield
,530,l,Groveland,1,groveland
,531,l,Hadley,1,hadley
,532,l,Halifax,1,halifax
,533,l,Hamilton,1,hamilton
,534,l,Hampden,1,hampden
,535,l,Hancock,1,hancock
,536,l,Hanover,1,hanover
,537,l,Hanson,1,hanson
,538,l,Hardwick,1,hardwick
,539,l,Harvard,1,harvard
,540,l,Harwich,1,harwich
,541,l,Hatfield,1,hatfield
,542,l,Heath,1,heath
,543,l,Hinsdale,1,hinsdale
,544,l,Holbrook,1,holbrook
,545,l,Holden,1,holden
,546,l,Holland,1,holland
,547,l,Holliston,1,holliston
,548,l,Holyoke,1,holyoke
,549,l,Hopedale,1,hopedale
,550,l,Hopkinton,1,hopkinton
,551,l,Hubbardston,1,hubbardston
,552,l,Hudson,1,hudson
,553,l,Huntington,1,huntington
,554,l,Ipswich,1,ipswich
,555,l,Kingston,1,kingston
,556,l,Lakeville,1,lakeville
,557,l,Lancaster,1,lancaster
,558,l,Lanesborough,1,lanesborough
,559,l,Lee,1,lee
,560,l,Lenox,1,lenox
,561,l,Leominster,1,leominster
,562,l,Leverett,1,leverett
,563,l,Leyden,1,leyden
,564,l,Lincoln,1,lincoln
,565,l,Littleton,1,littleton
,566,l,Ludlow,1,ludlow
,567,l,Lunenburg,1,lunenburg
,568,l,Lynnfield,1,lynnfield
,569,l,Manchester-by-the-Sea,1,manchester-by-the-sea
,570,l,Marblehead,1,marblehead
,571,l,Marion,1,marion
,572,l,Marshfield,1,marshfield
,573,l,Mashpee,1,mashpee
,574,l,Mattapoisett,1,mattapoisett
,575,l,Maynard,1,maynard
,576,l,Medfield,1,medfield
,577,l,Medway,1,medway
,578,l,Melrose,1,melrose
,579,l,Mendon,1,mendon
,580,l,Merrimac,1,merrimac
,581,l,Methuen,1,methuen
,582,l,Middleborough,1,middleborough
,583,l,Middlefield,1,middlefield
,584,l,Millbury,1,millbury
,585,l,Millis,1,millis
,586,l,Millville,1,millville
,587,l,Monroe,1,monroe
,588,l,Monson,1,monson
,589,l,Montague,1,montague
,590,l,Monterey,1,monterey
,591,l,Montgomery,1,montgomery
,592,l,Mount Washington,1,mount-washington
,593,l,Nahant,1,nahant
,594,l,Needham,1,needham
,595,l,New Bedford,1,new-bedford
,596,l,New Braintree,1,new-braintree
,597,l,New Marlborough,1,new-marlborough
,598,l,New Salem,1,new-salem
,599,l,Newbury,1,newbury
,600,l,Newburyport,1,newburyport
,603,l,Norfolk,1,norfolk
,604,l,North Adams,1,north-adams
,605,l,North Attleborough,1,north-attleborough
,606,l,North Brookfield,1,north-brookfield
,607,l,North Reading,1,north-reading
,608,l,Northborough,1,northborough
,609,l,Northbridge,1,northbridge
,610,l,Northfield,1,northfield
,611,l,Norton,1,norton
,612,l,Norwell,1,norwell
,613,l,Oak Bluffs,1,oak-bluffs
,614,l,Oakham,1,oakham
,615,l,Orange,1,orange
,616,l,Orleans,1,orleans
,617,l,Otis,1,otis
,618,l,Oxford,1,oxford
,619,l,Paxton,1,paxton
,620,l,Pelham,1,pelham
,621,l,Pembroke,1,pembroke
,622,l,Pepperell,1,pepperell
,623,l,Peru,1,peru
,624,l,Petersham,1,petersham
,625,l,Phillipston,1,phillipston
,626,l,Plainfield,1,plainfield
,627,l,Plainville,1,plainville
,628,l,Plympton,1,plympton
,629,l,Princeton,1,princeton
,630,l,Provincetown,1,provincetown
,631,l,Raynham,1,raynham
,632,l,Rehoboth,1,rehoboth
,633,l,Richmond,1,richmond
,634,l,Rochester,1,rochester
,635,l,Rockland,1,rockland
,636,l,Rockport,1,rockport
,637,l,Rowe,1,rowe
,638,l,Rowley,1,rowley
,639,l,Royalston,1,royalston
,640,l,Russell,1,russell
,641,l,Rutland,1,rutland
,642,l,Salisbury,1,salisbury
,643,l,Sandisfield,1,sandisfield
,644,l,Sandwich,1,sandwich
,645,l,Savoy,1,savoy
,646,l,Scituate,1,scituate
