abbrev,id,level,name,parent,slug,parent_abbrev
,67,l,Kent,54.0,kent,CA
,68,l,Olympia,54.0,olympia,CA
,69,l,Seattle,54.0,seattle,CA
,70,l,Shoreline,54.0,shoreline,CA
,71,l,Spokane,54.0,spokane,WA
,72,l,Tacoma,54.0,tacoma,WA
,73,l,King County,54.0,king-county,WA
,74,l,Pierce County,54.0,pierce-county,WA
,75,l,Snohomish County,54.0,snohomish-county,WA
,76,l,Spokane County,54.0,spokane-county,WA
,77,l,Dedham,1.0,dedham,WA
AZ,78,s,Arizona,10.0,arizona,WA
,79,l,Piedmont,52.0,piedmont,WA
VT,80,s,Vermont,10.0,vermont,WA
NH,81,s,New Hampshire,10.0,new-hampshire,MA
RI,82,s,Rhode Island,10.0,rhode-island,USA
,83,l,Sterling,1.0,sterling,CA
,84,l,Wellesley,1.0,wellesley,USA
,85,l,Belmont,1.0,belmont,USA
,86,l,Franklin,1.0,franklin,USA
,87,l,Lynn,1.0,lynn,MA
,88,l,Salem,1.0,salem,MA
,89,l,Bullhead City,78.0,bullhead-city,MA
,90,l,Norwalk,53.0,norwalk,MA
,91,l,Los Angeles,52.0,los-angeles,MA
,92,l,Walpole,1.0,walpole,MA
,93,l,Cohasset,1.0,cohasset,AZ
,94,l,Phoenix,78.0,phoenix,CT
,95,l,Benson,78.0,benson,CA
,96,l,Oakland,52.0,oakland,MA
,97,l,Hartford,53.0,hartford,MA
,99,l,New Haven,53.0,new-haven,AZ
,100,l,Bridgeport,53.0,bridgeport,AZ
,101,l,Danbury,53.0,danbury,CA
,102,l,New London,53.0,new-london,CT
,103,l,Miami,34.0,miami,
,104,l,Fort Lauderdale,34.0,fort-lauderdale,CT
,105,l,Framingham,1.0,framingham,CT
,106,l,Providence,82.0,providence,CT
,107,l,Santa Monica,52.0,santa-monica,CT
,108,l,Santa Barbara,52.0,santa-barbara,FL
TX,109,s,Texas,10.0,texas,FL
,110,l,Arlington,109.0,arlington,MA
KS,111,s,Kansas,10.0,kansas,RI
,112,l,Herington,111.0,herington,CA
,113,l,Houston,109.0,houston,CA
AR,114,s,Arkansas,10.0,arkansas,USA
,115,l,North Little Rock,114.0,north-little-rock,TX
OH,116,s,Ohio,10.0,ohio,USA
MI,117,s,Michigan,10.0,michigan,KS
,118,l,Ypsilanti,117.0,ypsilanti,TX
,119,l,Santa Clarita,52.0,santa-clarita,USA
,120,l,Ventura County,52.0,ventura-county,AR
,121,l,Wichita,111.0,wichita,USA
,122,l,Manchester Center,80.0,manchester-center,USA
,123,l,Orlando,34.0,orlando,MI
,124,l,Oxnard,52.0,oxnard,CA
,125,l,Palm Coast,34.0,palm-coast,CA
PA,126,s,Pennsylvania,10.0,pennsylvania,KS
CO,127,s,Colorado,10.0,colorado,VT
VA,128,s,Virginia,10.0,virginia,FL
,129,l,Arvada,127.0,arvada,CA
,130,l,Pittsburgh,126.0,pittsburgh,FL
,131,l,Carnegie,126.0,carnegie,USA
,132,l,South Fayette Township,126.0,south-fayette-township,USA
,133,l,Bridgeville,126.0,bridgeville,USA
,134,l,Virginia Beach,128.0,virginia-beach,CO
,135,l,Heidelberg,126.0,heidelberg,PA
,136,l,Flagler County,34.0,flagler-county,PA
,137,l,Bunnell,34.0,bunnell,PA
,138,l,Fairfax County,128.0,fairfax-county,PA
,139,l,Austin,109.0,austin,VA
,140,l,Tucson,78.0,tucson,PA
,141,l,San Francisco,52.0,san-francisco,FL
,143,l,Doylestown,126.0,doylestown,FL
,144,l,Stafford County,128.0,stafford-county,VA
,145,l,Denver,127.0,denver,TX
WI,146,s,Wisconsin,10.0,wisconsin,AZ
KY,147,s,Kentucky,10.0,kentucky,CA
,148,l,Jefferson,146.0,jefferson,
,149,l,Ashland,147.0,ashland,PA
,150,l,Washington Court House,116.0,washington-court-house,VA
,151,l,Richmond,128.0,richmond,CO
IN,152,s,Indiana,10.0,indiana,USA
NC,153,s,North Carolina,10.0,north-carolina,USA
MD,154,s,Maryland,10.0,maryland,WI
TN,155,s,Tennessee,10.0,tennessee,KY
MN,156,s,Minnesota,10.0,minnesota,OH
MT,157,s,Montana,10.0,montana,VA
OR,158,s,Oregon,10.0,oregon,USA
AL,159,s,Alabama,10.0,alabama,USA
