Person,Number of Files Requested,Page Number
"DeMarco, Vincent F Department Of Justice, U.S. Marshal New York Eastern District",60,11
"DeSombre, Michael G Department Of State, Ambassador to Thailand (Kingdom of)",5,11
"DeSombre, Michael G Department Of State, Assistant Secretary for East Asian & Pacific Affairs",1,11
"Deasy, Dana S Department Of Defense/Office Of The Secretary, Chief Information Officer",11,11
"DelBene, Kurt Department Of Veterans Affairs, Assistant Secretary for Information & Technology",51,12
"Dellinger, Hampton Department Of Justice, Assistant Attorney General, Office of Legal Policy",6,12
"Dellinger, Hampton Office Of Special Counsel, Special Counsel",2,12
"Demers, John C Department Of Justice, Assistant Attorney General, National Security Division",8,12
"Desrocher, John Department Of State, Ambassador to Algeria (Democratic & Popular Republic of)",2,12
"Dettelbach, Steven M Department Of Justice, Director, Bureau of Alcohol, Tobacco, Firearms & Explosives",5,12
"Dickerson, Allen Federal Election Commission, Commissioner",7,12
"Dickman, Martin J Railroad Retirement Board, Inspector General",22,12
"Dohman, Ramona L Department Of Justice, U.S. Marshal Minnesota",4,12
"Domenech, Douglas W Department Of The Interior, Assistant Secretary for Insular Affairs",7,12
"Donfried, Karen Department Of State, Assistant Secretary for European & Eurasian Affairs",10,13
"Dorsey, Tobias Office Of Administration, DAEO",2,13
"Dorsey, Tobias Office Of Science And Technology Policy, DAEO",3,13
"Dowling, Maria-Kate National Mediation Board, DAEO",18,13
"Dunn, Alexandra Dapolito Environmental Protection Agency, Assistant Administrator for Toxic Substances",2,13
"Dunn, Anita B White House Office, Assistant to President & Senior Advisor",6,13
"Dunn, Jason R Department Of Justice, U.S. Attorney Colorado",4,13
"Dunnigan, Robin Department Of State, Ambassador to Georgia",5,13
"Durham, John H Department Of Justice, U.S. Attorney Connecticut",2,13
"Dziak, Douglas Consumer Product Safety Commission, Commissioner",7,13
"Easley, Michael F Department Of Justice, U.S. Attorney North Carolina Eastern District",5,13
"Easterly, Jennie Department Of Homeland Security, Director, Cybersecurity & Infrastructure Security Agency",16,13
"Ehrendreich, Joel C Department Of State, Ambassador to Palau (Republic of)",4,13
"Einstman, John C Commodity Futures Trading Commission, DAEO",9,13
"Einstman, John Commodity Futures Trading Commission, DAEO",2,13
"Eisenberg, John A Department Of Justice, Assistant Attorney General, National Security Division",1,13
"Eisenberg, John A White House Office, Deputy Assistant to President & NSC Legal Advisor & Deputy Counsel to President for National Security Affairs",2,13
"Eisenberg, Lewis M Department Of State, Ambassador to Italian Republic & Republic of San Marino",15,13
"Eisenberg, Lynn Office Of Personnel Management, DAEO",3,13
"Elliott, Howard R Department Of Transportation, Administrator, Pipeline & Hazardous Materials Safety Administration",3,13
"Elliott, Peter J Department Of Justice, U.S. Marshal Ohio Northern District",10,13
"Elnahal, Shereef Department Of Veterans Affairs, Under Secretary for Health",8,13
"Emanuel, Noah Department Of Health And Human Services, Certificate of Divestiture",1,13
"Emanuel, Rahm Department Of State, Ambassador to Japan",22,13
"Emanuel, William J National Labor Relations Board, Member",5,13
"Esparza, Jaime Department Of Justice, U.S. Attorney Texas Western District",12,13
"Fahey, Kevin M Department Of Defense/Office Of The Secretary, Assistant Secretary for Acquisition",3,14
"Fajardo Orshan, Ariana Department Of Justice, U.S. Attorney Florida Southern District",3,14
"Fajardoorshan, Ariana Department Of Justice, U.S. Attorney Florida Southern District",9,14
"Faucher, Robert J Department Of State, Ambassador to Suriname (Republic of)",4,14
"Fauth, Gerald W National Mediation Board, Member",12,14
"Feitel, Robert J Nuclear Regulatory Commission, Inspector General",37,14
"Feldman, Peter A Consumer Product Safety Commission, Commissioner",9,14
"Feldman, Robert E Federal Deposit Insurance Corporation, DAEO",3,14
"Feldman, Stefanie White House Office, Assistant to the President & Staff Secretary; Director, Office of Gun Violence Prevention",1,14
"Feldman, Stefanie White House Office, Deputy Assistant to the President & Senior Advisor to the Director of the Domestic Policy Council",4,14
"Felten, Edward W Privacy And Civil Liberties Oversight Board, Member 2",9,14
"Fernandez, Jose Department Of State, Under Secretary for Economic Growth, Energy & the Environment",19,14
"Ferriero, David S National Archives And Records Administration, Archivist Of The United States",28,15
"Ferriero, David S National Archives And Records Administration, Archivist of the United States",28,15
"Fertitta, Tilman Department Of State, Ambassador to Italian Republic & Republic of San Marino",4,15
"Fick, Nathaniel Department Of State, Ambassador at Large for Cyberspace & Digital Policy",7,15
"Filipic, Anne White House Office, Assistant to the President, Director of Management and Administration",5,15
"Finegan, Philip C Department Of Justice, U.S. Attorney Colorado",23,15
"Fischer, David T Department Of State, Ambassador to Morocco (Kingdom of)",15,15
"Fischmann, Elizabeth Department Of Health And Human Services, DAEO",2,15
"Fischmann, Elizabeth National Credit Union Administration, DAEO",6,15
"Fisher, Ann Postal Regulatory Commission, Commissioner",6,15
"Fisher, Ann Postal Regulatory Commission, Commissioner 2",2,15
"Fisher, Arthur Department Of State, Ambassador to Austria (Republic of)",1,15
"Fisher, Julie D Department Of State, Ambassador to Belarus (Republic of)",1,15
"Fisher, Julie D Department Of State, Ambassador to Cyprus (Republic of)",3,15
"Fisher, Todd Department Of Commerce, Certificate of Divestiture",1,15
"FitzPatrick, Vernelle T Department Of State, Ambassador to Gabonese Republic",2,15
